time,front-end_1,user_2,front-end_3,front-end_4,front-end_5,front-end_6,front-end_7,front-end_8,front-end_9,front-end_10,user_11,front-end_12,front-end_13,front-end_14,front-end_15,front-end_16,user_17,user_18,orders_19,payment_20,orders_21,shipping_22,queue-master_23,queue-master_24,queue-master_25,queue-master_26,queue-master_27,front-end_28,front-end_29,front-end_30,user_31,front-end_32,front-end_33,user_34,front-end_35,front-end_36,front-end_37,front-end_38,front-end_39,catalogue_40,front-end_41,front-end_42,catalogue_43,front-end_44,front-end_45,catalogue_46,payment_47,user_48,carts_49,orders-db_50,user_51,user_52
1705818960,21,21,21,21,21,21,21,21,21,11,44,33,11,11,11,11,11,11,11,11,11,11,11,11,33,33,11,22,11,14,14,14,14,14,14,14,14,14,15,15,15,15,12,12,15,10,10,10,0,0,0,0
1705818975,12,12,12,12,12,12,12,12,12,19,76,57,19,19,19,19,19,19,19,19,19,19,19,19,57,57,19,38,19,19,19,19,19,19,19,19,19,19,19,19,19,19,15,15,19,10,10,10,46,0,0,0
1705818990,12,12,12,12,12,12,12,12,12,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,12,12,12,12,12,12,12,12,12,12,12,12,12,21,21,12,10,10,10,46,0,0,0
1705819005,19,19,19,19,19,19,19,19,19,11,44,33,11,11,11,11,11,11,11,11,11,11,11,11,33,33,11,22,11,16,16,16,16,16,16,16,16,16,16,16,16,16,12,12,16,10,10,10,23,0,0,0
1705819020,14,14,14,14,14,14,14,14,14,20,80,60,20,20,20,20,20,20,20,20,20,20,20,20,60,60,20,40,20,15,15,15,15,15,15,15,15,15,15,15,15,15,14,14,15,10,10,10,0,0,0,0
1705819035,15,15,15,15,15,15,15,15,15,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,14,14,14,14,14,14,14,14,14,14,14,14,14,19,19,14,10,10,10,23,0,0,0
1705819050,16,16,16,16,16,16,16,16,16,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,15,15,15,15,15,15,14,14,14,14,14,14,14,12,12,14,10,10,10,0,0,0,0
1705819065,15,15,15,15,15,15,15,15,15,11,44,33,11,11,11,11,11,11,11,11,11,11,11,11,33,33,11,22,11,14,14,14,14,14,14,15,15,15,15,15,15,15,16,16,15,10,10,10,23,0,0,0
1705819080,12,12,12,12,12,12,12,12,12,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,17,17,17,17,17,17,17,17,17,17,17,17,17,16,16,17,10,10,10,0,0,0,0
1705819095,20,20,20,20,20,20,20,20,20,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,11,11,11,11,11,11,11,11,11,11,11,11,11,14,14,11,10,10,10,0,0,0,0
1705819110,14,14,14,14,14,14,14,14,14,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,20,20,20,20,20,20,20,20,20,20,20,20,20,17,17,20,10,10,10,0,0,0,0
1705819125,15,15,15,15,15,15,15,15,15,19,76,57,19,19,19,19,19,19,19,19,19,19,19,19,57,57,19,38,19,16,16,16,16,16,16,16,16,16,16,16,16,16,14,14,16,10,10,10,0,0,0,0
1705819140,13,13,13,13,13,13,13,13,13,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,14,14,14,14,14,14,14,14,14,14,14,14,14,17,17,14,10,10,10,46,0,0,0
1705819155,14,14,14,14,14,14,14,14,14,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,11,11,11,11,11,11,11,11,11,11,11,11,11,12,12,11,10,10,10,0,0,0,0
1705819170,18,18,18,18,18,18,18,18,18,8,32,24,8,8,8,8,8,8,8,8,8,8,8,8,24,24,8,16,8,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,10,10,10,23,0,0,0
1705819185,15,15,15,15,15,15,15,15,15,20,80,60,20,20,20,20,20,20,20,20,20,20,20,20,60,60,20,40,20,17,17,17,17,17,17,17,17,17,17,17,17,17,10,10,17,10,10,10,0,0,0,0
1705819200,16,16,16,16,16,16,16,16,16,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,13,13,13,13,13,13,13,12,12,12,11,11,11,22,22,11,10,10,10,0,0,0,0
1705819215,14,14,14,14,14,14,14,14,14,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,17,17,17,17,17,17,17,18,18,18,19,19,19,12,12,19,10,10,10,0,0,0,0
1705819230,16,16,16,16,16,16,16,16,16,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,10,10,10,46,0,0,0
1705819245,13,13,13,13,13,13,13,13,13,18,72,54,18,18,18,18,18,18,18,18,18,18,18,18,54,54,18,36,17,13,13,13,13,13,13,13,13,13,13,13,13,13,16,16,13,10,10,10,0,0,0,0
1705819260,13,13,13,13,13,13,13,13,13,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,15,15,15,15,15,15,15,15,15,15,15,15,15,15,12,12,15,10,10,10,0,0,0,0
1705819275,18,18,18,18,18,18,18,18,18,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,17,17,17,17,17,17,17,17,17,17,17,17,17,15,15,17,10,10,10,0,0,0,0
1705819290,19,19,19,19,19,19,19,19,19,19,76,57,19,19,19,19,19,19,19,19,19,19,19,19,57,57,19,38,19,16,16,16,16,16,16,16,16,16,16,16,16,16,15,15,16,10,10,10,0,0,0,0
1705819305,8,8,8,8,8,8,8,8,8,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,14,14,14,14,14,14,14,14,14,14,14,14,14,19,19,14,10,10,10,0,2,0,0
1705819320,14,14,14,14,14,13,13,13,13,12,48,36,12,12,12,12,12,12,12,12,12,12,12,12,36,36,12,24,12,12,12,12,12,12,12,12,12,12,12,12,12,12,13,13,12,10,10,10,46,0,0,0
1705819335,18,18,18,18,18,19,19,19,19,12,48,36,12,12,12,12,12,12,12,12,12,12,12,12,36,36,12,24,12,12,12,12,12,12,12,12,12,12,12,12,12,12,13,13,12,10,10,10,23,0,0,0
1705819350,14,14,14,14,14,14,14,14,14,10,40,30,10,10,10,10,10,10,10,10,10,10,10,10,30,30,10,20,10,19,19,19,19,19,19,19,19,19,19,19,19,19,15,15,19,10,10,10,0,0,0,0
1705819365,12,12,12,12,12,12,12,12,12,25,100,75,25,25,25,25,25,25,25,25,25,25,25,25,75,75,25,50,25,13,13,13,13,13,13,13,13,13,13,13,13,13,14,14,13,10,10,10,0,0,0,0
1705819380,21,21,21,21,21,21,21,21,21,10,40,30,10,10,10,10,10,10,10,10,10,10,10,10,30,30,10,20,10,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,10,10,10,23,0,0,0
1705819395,15,15,15,15,15,15,15,15,15,18,72,54,18,18,18,18,18,18,18,18,18,18,18,18,54,54,18,36,18,18,18,18,18,18,18,18,18,18,18,18,18,18,14,14,18,10,10,10,0,0,0,0
1705819410,13,13,13,13,13,13,13,13,13,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,15,15,15,15,15,15,15,15,15,15,15,15,15,17,17,15,10,10,10,23,0,0,0
1705819425,19,19,19,19,19,19,19,19,19,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,16,16,16,16,16,16,16,16,16,16,16,16,16,18,18,16,10,10,10,23,0,0,0
1705819440,13,13,13,13,13,13,13,13,13,22,88,66,22,22,22,22,22,22,22,22,22,22,22,22,66,66,22,44,22,16,16,16,16,16,16,16,16,16,16,16,16,16,11,11,16,10,10,10,0,0,0,0
1705819455,11,11,11,11,11,11,11,11,11,12,48,36,12,12,12,12,12,12,12,12,12,12,12,12,36,36,12,24,12,13,13,13,13,13,13,13,13,13,13,13,13,13,22,22,13,10,10,10,0,0,0,0
1705819470,16,16,16,16,16,16,16,16,16,12,48,36,12,12,12,12,12,12,12,12,12,12,12,12,36,36,12,24,12,16,16,16,16,16,16,16,16,16,16,14,14,14,13,13,14,10,10,10,0,0,0,0
1705819485,19,19,19,19,19,19,19,19,19,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,16,16,16,16,16,16,16,16,16,16,18,18,18,15,15,18,10,10,10,23,0,0,0
1705819500,18,18,18,18,18,18,18,18,18,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,21,21,21,21,21,21,21,21,21,21,19,19,19,12,12,19,10,10,10,0,0,0,0
1705819515,14,14,14,14,14,14,14,14,14,20,80,60,20,20,20,20,20,20,20,20,20,20,20,20,60,60,20,40,20,12,12,12,11,11,11,11,11,11,11,13,13,13,18,18,13,10,10,10,0,0,0,0
1705819530,15,15,15,15,15,15,15,15,15,10,40,30,10,10,10,10,10,10,10,10,10,10,10,10,30,30,10,20,10,14,14,14,15,15,15,15,15,15,15,15,15,15,21,21,15,10,10,10,0,0,0,0
1705819545,17,17,17,17,17,17,17,17,17,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,20,19,19,19,19,19,19,19,19,19,19,19,19,12,12,19,10,10,10,0,0,0,0
1705819560,15,15,15,15,15,15,15,15,15,20,80,60,20,20,20,20,20,20,20,20,20,20,20,20,60,60,20,40,20,15,16,16,16,16,16,16,16,16,16,15,15,15,15,15,15,10,10,10,23,0,0,0
1705819575,15,15,15,15,15,15,15,15,15,12,48,36,12,12,12,12,12,12,12,12,12,12,12,12,36,36,12,24,12,10,10,10,10,10,10,10,10,10,10,11,11,11,20,20,11,10,10,10,0,0,0,0
1705819590,20,20,20,20,20,20,20,20,20,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,17,17,17,17,17,17,17,17,17,17,17,17,17,12,12,17,10,10,10,69,0,0,0
1705819605,14,14,14,14,14,14,14,14,14,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,20,20,20,20,19,19,19,19,19,19,19,19,19,13,13,19,10,10,10,46,0,0,0
1705819620,13,13,13,13,13,13,13,13,13,25,100,75,25,25,25,25,25,25,25,25,25,25,25,25,75,75,25,50,25,11,11,11,11,12,12,12,12,12,12,12,12,12,19,19,12,10,10,10,0,0,0,0
1705819635,19,19,19,19,19,19,19,19,19,9,36,27,9,9,9,9,9,9,9,9,9,9,9,9,27,27,9,18,9,15,15,15,15,15,15,15,15,15,15,15,15,15,17,17,15,10,10,10,23,0,0,0
1705819650,14,14,14,14,14,14,14,14,14,13,51,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,20,20,20,20,20,20,20,20,20,20,20,20,20,12,12,20,10,10,10,69,0,1,0
1705819665,18,18,18,18,18,18,18,18,18,20,80,60,20,20,20,20,20,20,20,20,20,20,20,20,60,60,20,40,20,16,16,16,16,16,16,16,16,16,16,16,16,16,17,17,16,10,10,10,0,0,0,0
1705819680,10,10,10,10,10,10,10,10,10,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,16,16,16,16,16,16,16,16,16,16,16,16,16,18,18,16,10,10,10,0,0,0,0
1705819695,16,16,16,16,16,16,16,16,16,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,9,9,9,9,9,9,9,9,9,9,9,9,9,17,17,9,10,10,10,0,0,0,0
1705819710,19,19,19,19,19,19,19,19,19,12,48,36,12,12,12,12,12,12,12,12,12,12,12,12,36,36,12,24,12,19,19,19,19,19,19,19,19,19,19,19,19,19,8,8,19,10,10,10,23,0,0,0
1705819725,12,12,12,12,12,12,12,12,12,19,76,57,19,19,19,19,18,19,19,19,19,19,19,19,57,57,19,38,19,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,10,10,10,0,0,0,1
1705819740,15,15,15,15,15,15,15,15,15,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,15,15,15,15,15,15,15,15,15,15,15,15,15,20,20,15,10,10,10,0,0,0,0
1705819755,19,19,19,19,19,19,19,19,19,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,13,13,13,13,13,13,13,13,13,13,13,13,13,12,12,13,10,10,10,0,0,0,0
1705819770,15,15,15,15,15,15,15,15,15,19,76,57,19,19,19,19,19,19,19,19,19,19,19,19,57,57,19,38,19,18,18,18,18,18,18,16,16,16,16,16,16,16,17,17,16,10,10,10,0,0,0,0
1705819785,15,15,15,15,15,15,15,15,15,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,16,16,16,16,16,16,17,17,17,17,17,17,17,16,16,17,10,10,10,0,0,0,0
1705819800,14,14,14,14,14,14,14,14,14,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,15,15,15,15,15,15,16,16,16,16,14,14,14,16,16,14,10,10,10,23,0,0,0
1705819815,16,16,16,16,16,16,16,16,16,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,15,15,15,15,15,15,15,15,15,15,17,17,17,16,16,17,10,10,10,0,0,0,0
1705819830,12,12,12,12,12,12,12,12,12,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,15,15,15,15,15,15,15,15,15,15,15,15,15,14,14,15,10,10,10,23,0,0,0
1705819845,19,19,19,19,19,19,19,19,19,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,19,19,19,19,19,19,18,18,18,18,18,18,18,16,16,18,10,10,10,0,0,0,0
1705819860,16,16,16,16,16,16,16,16,16,18,72,54,18,18,18,18,18,18,18,18,18,18,18,18,54,54,18,36,18,12,12,12,12,12,12,13,13,13,13,13,13,13,13,13,13,10,10,10,0,0,0,0
1705819875,11,11,11,11,11,11,11,11,11,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,14,14,14,14,14,14,14,14,14,14,14,14,14,21,21,14,10,10,10,0,0,0,0
1705819890,19,19,19,19,19,19,19,19,19,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,14,14,14,14,14,14,14,14,14,14,14,14,14,11,11,14,10,10,10,23,0,0,0
1705819905,12,12,12,12,12,12,12,12,12,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,16,16,16,16,16,16,16,16,16,16,16,16,16,14,14,16,10,10,10,46,0,0,0
1705819920,20,20,20,20,20,20,20,20,20,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,15,15,15,15,15,15,15,15,15,15,15,15,15,18,18,15,10,10,10,23,0,0,0
1705819935,14,14,14,14,14,13,13,13,13,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,19,19,19,19,19,19,19,19,19,19,19,19,19,11,11,19,10,10,10,23,0,0,0
1705819950,15,15,15,15,15,16,16,16,16,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,15,15,15,15,15,15,15,15,15,15,15,15,15,22,22,15,10,10,10,0,0,0,0
1705819965,20,20,20,20,20,20,20,20,20,19,76,57,19,19,19,19,19,19,19,19,19,19,19,19,57,57,19,38,19,16,16,16,16,16,16,16,16,16,16,14,14,14,9,9,14,10,10,10,23,0,0,0
1705819980,15,15,15,15,15,15,15,15,15,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,15,15,15,15,15,15,15,15,15,15,17,17,17,17,17,17,10,10,10,0,0,0,0
1705819995,7,7,7,7,7,7,7,7,7,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,12,12,12,12,12,12,12,12,12,12,12,12,12,16,16,12,10,10,10,0,0,0,0
1705820010,18,18,18,18,18,18,18,18,18,9,36,27,9,9,9,9,9,9,9,9,9,9,9,9,27,27,9,18,9,11,11,11,11,11,11,11,11,11,11,11,11,11,16,16,11,10,10,10,0,0,0,0
1705820025,19,19,19,19,19,19,19,19,19,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,18,18,18,18,18,18,18,18,18,18,18,18,18,8,8,18,10,10,10,0,0,0,0
1705820040,11,11,11,11,11,11,11,11,11,18,72,54,18,18,18,18,18,18,18,18,18,18,17,17,51,51,17,34,17,20,20,20,20,20,20,20,20,20,20,19,19,19,18,18,19,10,10,10,0,0,0,0
1705820055,15,15,15,15,15,15,15,15,15,16,64,48,16,16,16,16,16,16,16,16,16,16,17,17,51,51,17,34,17,5,5,5,5,5,5,5,5,5,5,6,6,6,17,17,6,10,10,10,0,0,0,0
1705820070,21,21,21,21,21,21,21,21,21,13,49,36,12,12,12,12,12,12,12,12,12,12,12,12,36,36,12,24,12,21,21,21,21,21,21,21,21,21,21,21,21,21,15,15,21,10,10,10,23,0,0,0
1705820085,9,9,9,9,9,9,9,9,9,14,59,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,17,17,17,17,17,17,17,17,17,17,17,17,17,16,16,17,10,10,10,23,0,0,0
1705820100,18,18,18,18,18,18,18,18,18,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,18,18,18,18,18,18,18,18,18,18,18,18,18,17,17,18,10,10,10,23,0,0,0
1705820115,15,15,15,15,15,15,15,15,15,20,80,60,20,20,20,20,20,20,20,20,20,20,20,20,60,60,20,40,20,14,14,14,14,14,14,14,14,14,14,14,14,14,11,11,14,10,10,10,23,0,0,0
1705820130,3,3,3,3,3,3,3,3,3,4,16,12,4,4,4,4,4,4,4,4,4,4,4,4,12,12,4,8,4,5,5,5,5,5,5,5,5,5,5,5,5,5,8,8,5,4,4,4,0,0,0,0
