time,front-end_1,user_2,front-end_3,front-end_4,user_5,front-end_6,front-end_7,front-end_8,front-end_9,front-end_10,catalogue_11,front-end_12,front-end_13,front-end_14,payment_15,front-end_16,user_17,front-end_18,front-end_19,front-end_20,front-end_21,front-end_22,front-end_23,front-end_24,user_25,front-end_26,user_27,front-end_28,front-end_29,front-end_30,front-end_31,front-end_32,user_33,user_34,orders_35,payment_36,orders_37,shipping_38,queue-master_39,queue-master_40,queue-master_41,queue-master_42,queue-master_43,front-end_44,front-end_45,catalogue_46,front-end_47,catalogue_48,carts_49,user_50,user_51,user_52,user_53,user-db_54,orders_55,orders_56,front-end_57,front-end_58,user_59
1705663635,24,24,24,24,24,24,23,23,23,23,23,23,23,22,10,17,17,17,17,17,17,17,17,17,10,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,10,10,10,0,0,0,0,0,0,0,0,0,0,0
1705663650,14,14,14,14,14,14,15,15,15,15,15,15,15,16,10,16,16,16,16,16,16,16,16,16,10,17,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,17,17,10,0,0,0,0,0,0,0,0,0,0,0
1705663665,12,12,12,12,12,12,12,12,12,12,12,12,12,12,10,11,11,11,11,11,11,11,11,11,10,18,76,57,19,19,19,19,19,19,19,19,19,19,19,19,57,57,19,38,19,20,20,10,0,0,0,0,0,0,0,0,0,0,0
1705663680,12,12,12,12,12,12,11,11,11,11,11,11,11,11,10,14,14,14,14,14,14,14,14,14,10,11,44,33,11,11,11,11,11,11,11,11,11,11,11,11,33,33,11,22,11,12,12,10,23,0,0,0,0,0,0,0,0,0,0
1705663695,19,19,19,19,19,19,19,19,19,19,19,19,19,19,10,17,17,17,17,17,17,17,17,17,10,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,14,14,10,23,0,0,0,0,0,0,0,0,0,0
1705663710,15,15,15,15,15,15,16,16,16,16,16,16,16,15,10,12,12,12,12,12,12,12,12,12,10,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,13,13,10,46,0,0,0,0,0,0,0,0,0,0
1705663725,14,14,14,14,14,14,14,14,14,14,14,14,14,14,10,16,16,16,16,16,16,16,16,16,10,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,18,18,10,0,0,0,0,0,0,0,0,0,0,0
1705663740,20,20,20,20,20,20,20,20,20,20,20,20,20,20,10,20,20,20,20,20,20,20,20,20,10,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,15,15,10,23,0,0,0,0,0,0,0,0,0,0
1705663755,13,13,13,13,13,13,13,13,13,13,13,13,13,14,10,10,10,10,10,10,10,10,10,10,10,18,72,54,18,18,18,18,18,18,18,18,18,18,18,18,54,54,18,36,18,13,13,10,46,0,0,0,0,0,0,0,0,0,0
1705663770,13,13,13,13,13,13,13,13,13,13,13,13,13,12,10,21,21,21,21,21,21,21,21,21,10,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,18,18,10,0,0,0,0,0,0,0,0,0,0,0
1705663785,14,14,14,14,14,14,14,14,14,14,14,14,14,15,10,8,8,8,8,8,8,8,8,8,10,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,10,10,10,0,0,0,0,0,0,0,0,0,0,0
1705663800,15,15,15,15,15,15,15,15,15,15,15,15,15,15,10,18,18,18,18,18,18,18,18,18,10,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,18,18,10,23,0,0,0,0,0,0,0,0,0,0
1705663815,12,12,12,12,12,12,11,11,11,11,11,11,11,11,10,16,16,16,16,16,16,16,16,16,10,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,14,14,10,46,0,0,0,0,0,0,0,0,0,0
1705663830,18,18,18,18,18,18,19,19,19,19,19,19,19,18,10,16,16,16,16,16,16,16,16,16,10,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,14,14,10,0,0,0,0,0,0,0,0,0,0,0
1705663845,14,14,14,14,14,14,14,14,14,14,14,14,14,15,10,12,12,12,12,12,12,12,12,12,10,18,71,52,18,18,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,18,18,10,23,0,0,0,0,0,0,0,0,0,0
1705663860,16,16,16,16,16,16,16,16,16,16,16,16,16,16,10,19,19,19,19,19,19,19,19,19,10,12,49,38,12,12,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,15,15,10,23,0,0,0,0,0,0,0,0,0,0
1705663875,16,16,16,16,16,16,16,16,16,16,16,16,16,16,10,10,10,10,10,10,10,10,10,10,10,22,87,64,22,22,21,21,21,21,21,21,21,21,21,21,63,63,21,42,21,12,11,10,0,0,0,0,0,0,0,0,0,0,0
1705663890,13,13,13,13,13,13,13,13,13,13,13,13,13,13,10,15,15,15,15,15,15,15,15,15,10,9,37,29,9,9,10,10,10,10,10,10,10,10,10,10,30,30,10,20,10,20,21,10,0,0,0,0,0,0,0,0,0,0,0
1705663905,14,14,14,14,14,14,14,14,14,14,14,14,14,14,10,20,20,20,20,20,20,20,20,20,10,12,48,36,12,12,12,12,12,12,12,12,12,12,12,12,36,36,12,24,12,11,11,10,0,0,0,0,0,0,0,0,0,0,0
1705663920,22,22,22,22,22,22,22,22,22,22,22,22,22,22,10,13,13,13,13,13,13,13,13,13,10,18,72,54,18,18,18,18,18,18,18,18,18,18,18,18,54,54,18,36,18,14,14,10,0,0,0,0,0,0,0,0,0,0,0
1705663935,11,11,11,11,11,11,11,11,11,11,11,11,11,11,10,15,15,15,15,15,15,15,15,15,10,18,72,54,18,18,18,18,18,18,18,18,18,18,18,18,54,54,18,36,18,20,20,10,0,0,0,0,0,0,0,0,0,0,0
1705663950,15,15,15,15,15,15,15,15,15,15,15,15,15,15,10,14,14,14,14,14,14,14,14,14,10,12,48,36,12,12,12,12,12,12,12,12,12,12,12,12,36,36,12,24,12,14,14,10,0,0,0,0,0,0,0,0,0,0,0
1705663965,19,19,19,19,19,19,19,19,19,19,19,19,19,19,10,21,21,21,21,21,21,21,21,21,10,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,11,11,10,23,0,0,0,0,0,0,0,0,0,0
1705663980,14,14,14,14,14,14,14,14,14,14,14,14,14,14,10,10,10,10,10,10,10,10,10,10,10,18,72,54,18,18,18,18,18,18,18,18,18,18,18,18,54,54,18,36,18,16,16,10,0,0,0,0,0,0,0,0,0,0,0
1705663995,15,15,15,15,15,15,15,13,13,13,13,13,13,13,10,21,21,21,21,21,21,21,21,21,10,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,22,22,10,0,0,0,0,0,0,0,0,0,0,0
1705664010,20,20,20,20,20,20,20,22,22,22,22,22,22,22,10,14,14,14,14,14,14,14,14,14,10,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,10,10,10,0,0,0,0,0,0,0,0,0,0,0
1705664025,9,9,9,9,9,9,9,9,9,9,9,9,9,9,10,12,12,12,12,12,12,12,12,12,10,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,22,22,10,0,0,0,0,0,0,0,0,0,0,0
1705664040,17,17,17,17,17,17,17,17,17,17,17,17,17,17,10,18,18,18,18,18,18,18,18,18,10,12,48,36,12,12,12,12,12,12,12,12,12,12,12,12,36,36,12,24,12,13,13,10,23,0,0,0,0,0,0,0,0,0,0
1705664055,16,16,16,16,16,16,16,16,16,16,16,16,16,16,10,18,18,18,18,18,18,18,18,18,10,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,11,11,10,0,0,0,0,0,0,0,0,0,0,0
1705664070,16,16,16,16,16,16,16,16,16,16,16,16,16,16,10,11,11,11,11,11,11,11,11,11,10,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,17,17,10,0,0,0,0,0,0,0,0,0,0,0
1705664085,12,12,12,12,12,12,12,12,12,12,12,12,12,12,10,17,17,17,17,17,17,17,17,17,10,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,15,15,10,46,0,0,0,0,0,0,0,0,0,0
1705664100,16,16,16,16,16,16,16,16,16,16,16,16,16,16,10,13,13,13,13,13,13,13,13,13,10,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,16,16,10,23,0,0,0,0,0,0,0,0,0,0
1705664115,18,18,18,18,17,17,17,17,17,17,17,17,17,17,10,17,17,17,17,17,17,17,17,17,10,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,17,17,10,46,0,0,0,0,0,0,0,0,0,0
1705664130,14,14,14,14,15,15,15,15,15,15,15,15,15,15,10,15,15,15,15,15,15,15,15,15,10,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,11,11,10,23,0,0,0,0,0,0,0,0,0,0
1705664145,15,15,15,15,15,15,15,15,15,15,15,15,15,15,10,15,15,15,15,15,15,15,15,15,10,15,60,45,15,15,15,15,15,14,15,15,15,15,15,15,45,45,15,30,15,21,21,10,0,0,0,1,0,0,0,0,0,0,0
1705664160,17,17,17,17,17,17,17,17,17,17,17,17,17,17,10,15,15,15,15,15,15,15,15,15,10,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,11,11,10,23,0,0,0,0,0,0,0,0,0,0
1705664175,16,16,16,16,16,16,16,16,16,16,16,16,16,16,10,17,17,17,17,17,17,17,17,17,10,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,17,17,10,23,0,0,0,0,0,0,0,0,0,0
1705664190,13,13,13,13,13,13,13,13,13,13,13,13,13,13,10,16,16,16,16,16,16,16,16,16,10,16,64,48,16,16,16,16,16,16,15,15,15,15,15,15,45,45,15,30,15,18,18,10,23,0,0,0,0,0,0,0,0,0,0
1705664205,15,15,15,15,15,15,15,15,15,15,15,15,15,14,10,15,15,15,15,15,14,14,14,14,10,14,56,42,14,14,14,14,14,14,15,15,15,15,15,15,45,45,15,30,15,13,13,10,0,0,0,0,0,0,0,0,0,0,0
1705664220,13,13,13,13,13,13,13,13,13,13,13,13,13,13,10,14,14,14,14,14,13,13,13,13,10,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,17,17,10,0,0,0,0,0,0,0,0,0,0,0
1705664235,20,20,20,20,20,20,20,19,19,19,19,19,19,18,10,14,14,14,14,14,16,16,16,16,10,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,10,10,10,0,0,0,0,0,0,0,0,0,0,0
1705664250,10,10,10,10,10,10,9,10,10,10,10,10,10,10,10,15,15,15,15,15,15,15,15,15,10,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,15,15,10,0,0,0,0,0,0,0,0,0,0,0
1705664265,16,16,16,16,16,16,15,15,15,15,15,15,15,16,10,15,15,15,15,15,15,15,15,15,10,11,44,33,11,11,11,11,11,11,11,11,11,11,11,11,33,33,11,22,11,19,19,10,0,0,0,0,0,0,0,0,0,0,0
1705664280,16,16,16,16,16,16,18,17,17,17,17,17,17,17,10,21,21,21,21,21,20,20,20,20,10,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,7,7,10,0,0,0,0,0,0,0,0,0,0,0
1705664295,18,18,18,18,18,18,18,18,18,18,18,18,18,19,10,7,7,7,7,7,8,8,8,8,10,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,15,15,10,0,0,0,0,0,0,0,0,0,0,0
1705664310,9,9,9,9,9,9,9,9,9,9,9,9,9,7,10,13,13,13,13,13,13,13,13,13,10,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,20,20,10,46,0,0,0,0,0,0,0,0,0,0
1705664325,10,10,10,10,10,10,10,11,11,11,11,11,11,12,10,15,15,15,15,15,13,13,13,13,10,10,40,30,10,10,10,10,10,10,10,10,10,10,10,10,30,30,10,20,10,15,15,10,0,0,0,0,0,0,0,0,0,0,0
1705664340,18,18,18,18,18,18,18,16,16,16,16,16,16,15,10,17,17,17,17,17,18,18,18,18,10,12,48,36,12,12,12,12,12,12,12,12,12,12,12,12,36,36,12,24,12,10,10,10,23,0,0,0,0,0,0,0,0,0,0
1705664355,15,15,15,15,15,15,15,16,16,16,16,16,16,17,10,14,14,14,14,14,14,14,14,14,10,18,72,54,18,18,18,18,18,18,18,18,18,18,18,18,54,54,18,36,18,13,13,10,0,0,0,0,0,0,0,0,0,0,0
1705664370,16,16,16,16,16,16,16,16,16,16,16,16,16,16,10,12,12,12,12,12,11,11,11,11,10,18,71,54,18,18,18,18,18,18,18,18,18,18,18,18,54,54,18,36,18,16,16,10,0,0,0,0,1,0,0,0,0,0,0
1705664385,13,13,13,13,13,13,13,14,14,14,14,14,14,11,10,17,17,17,17,17,19,19,19,19,10,13,52,39,13,13,13,13,13,13,12,12,12,12,12,12,36,36,12,24,12,19,19,10,0,0,0,0,0,0,0,0,0,0,0
1705664400,19,19,19,19,19,19,17,13,13,13,13,13,13,17,10,18,18,18,18,18,18,18,18,18,10,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,10,10,10,23,0,0,0,0,0,0,0,0,0,0
1705664415,13,13,13,13,13,13,15,17,17,17,17,17,17,17,10,14,14,14,14,14,11,11,11,11,10,16,64,48,16,16,16,16,16,16,17,17,17,17,17,17,51,51,17,34,17,16,16,10,0,0,0,0,0,0,0,0,0,0,0
1705664430,16,16,16,16,16,16,16,18,18,18,18,18,18,16,10,12,12,12,12,12,14,14,14,14,10,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,19,19,10,23,0,0,0,0,0,0,0,0,0,0
1705664445,11,11,11,11,11,11,11,11,11,11,11,11,11,12,10,16,15,15,15,15,14,14,14,14,10,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,14,14,10,0,0,0,0,0,0,0,0,0,0,0
1705664460,16,16,16,16,16,16,16,16,16,16,16,16,16,16,10,15,16,16,16,16,17,17,17,17,10,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,13,13,10,23,0,0,0,0,0,0,0,0,0,0
1705664475,16,16,16,16,16,16,16,16,16,16,16,16,16,16,10,11,11,11,11,11,12,12,12,12,10,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,14,14,10,0,0,0,0,0,0,0,0,0,0,0
1705664490,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,14,14,14,14,14,14,14,14,14,10,14,56,42,14,14,14,14,14,14,13,13,13,13,13,13,39,39,13,26,13,17,17,10,0,0,0,0,0,0,0,0,0,0,0
1705664505,17,17,17,17,17,17,17,17,17,17,17,17,17,18,10,15,15,15,15,15,15,15,15,15,10,12,48,36,12,12,12,12,12,12,13,13,13,13,13,13,39,39,13,26,13,11,11,10,0,0,0,0,0,0,0,0,0,0,0
1705664520,18,18,18,18,18,18,18,17,17,17,17,17,17,14,10,16,16,16,16,16,13,13,13,13,10,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,16,16,10,0,0,0,0,0,1,0,0,0,0,0
1705664535,11,11,11,11,11,11,11,12,12,12,12,12,12,13,10,14,14,14,14,14,17,17,17,17,10,15,60,45,15,15,15,15,15,15,14,14,14,14,14,14,42,42,14,28,14,16,16,10,46,0,0,0,0,0,0,0,0,0,0
1705664550,14,14,14,14,14,14,14,14,14,14,14,14,14,14,10,18,18,18,18,18,18,18,18,18,10,11,44,33,11,11,11,11,11,11,12,12,12,12,12,12,36,36,12,24,12,13,13,10,0,0,0,0,0,0,0,0,0,0,0
1705664565,20,20,20,20,20,20,20,20,20,20,20,20,20,19,10,13,13,13,13,13,12,12,12,12,10,15,60,45,15,15,15,15,15,15,14,14,14,14,14,14,42,42,14,28,14,14,14,10,23,0,0,0,0,0,0,0,0,0,0
1705664580,8,8,8,8,8,8,8,8,8,8,8,8,8,10,10,9,9,9,9,9,9,9,9,9,10,19,76,57,19,19,19,19,19,19,19,19,19,19,19,19,57,57,19,38,19,14,14,10,23,0,0,0,0,0,71,1,2,1,0
1705664595,12,12,12,12,12,12,12,12,12,12,12,12,12,10,10,15,15,15,15,15,14,14,14,14,10,9,36,27,9,9,9,9,9,9,9,9,9,9,9,9,27,27,9,18,9,16,16,10,23,0,0,0,0,0,0,0,0,0,0
1705664610,18,18,18,18,18,18,18,18,18,18,18,18,18,16,10,19,19,19,19,19,19,19,19,19,10,10,40,30,10,10,10,10,10,10,9,9,9,9,9,9,27,27,9,18,9,11,11,10,23,0,0,0,0,0,0,0,0,0,0
1705664625,12,12,12,12,12,12,12,12,12,12,12,12,12,17,10,12,12,12,12,12,13,13,13,13,10,19,76,57,19,19,19,19,19,19,20,20,20,20,20,20,60,60,20,40,20,14,14,10,46,0,0,0,0,0,0,0,0,0,0
1705664640,14,14,14,14,14,14,14,14,14,14,14,14,14,12,10,19,19,19,19,19,16,16,16,16,10,16,64,48,16,16,16,16,16,16,15,15,15,15,15,15,45,45,15,30,15,15,15,10,0,0,0,0,0,0,0,0,0,0,0
1705664655,15,15,15,15,15,15,15,15,15,15,15,15,15,17,10,12,12,12,12,12,16,16,16,16,10,13,52,39,13,13,13,13,13,13,14,14,14,14,14,14,42,42,14,28,14,16,16,10,0,0,0,0,0,0,0,0,0,0,0
1705664670,16,16,16,16,16,16,16,14,14,14,14,14,14,13,10,12,12,12,12,12,12,12,12,12,10,15,60,45,15,15,15,15,15,15,14,14,14,14,14,14,42,42,14,28,14,14,14,10,23,0,0,0,0,0,0,0,0,0,0
1705664685,15,15,15,15,15,15,15,17,17,17,17,17,17,16,10,15,15,15,15,15,15,15,15,15,10,17,68,51,17,17,17,17,17,17,18,18,18,18,18,18,54,54,18,36,18,14,14,10,0,0,0,0,0,0,0,0,0,0,0
1705664700,8,8,8,8,8,8,8,8,8,8,8,8,8,9,10,15,15,15,15,15,13,13,13,13,10,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,15,15,10,0,0,0,0,0,0,0,0,0,0,0
1705664715,24,24,24,24,24,24,24,23,23,23,23,23,23,21,10,16,16,16,16,16,17,17,17,17,10,10,40,30,10,10,10,10,10,10,9,9,9,9,9,9,27,27,9,18,9,11,11,10,0,0,0,0,0,0,0,0,0,0,0
1705664730,9,9,9,9,9,9,9,10,10,10,10,10,10,12,10,12,12,12,12,12,13,13,13,13,10,19,76,57,19,19,19,19,19,19,20,20,20,20,20,19,57,57,19,38,19,13,13,10,46,0,0,0,0,0,0,0,0,0,0
1705664745,13,13,13,13,13,13,13,12,12,12,12,12,12,13,10,13,13,13,13,13,12,12,12,12,10,13,52,39,13,13,13,13,13,13,11,11,11,11,11,12,36,36,12,24,12,19,19,10,0,0,0,0,0,0,0,0,0,0,0
1705664760,19,19,19,19,19,19,19,19,19,19,19,19,19,17,10,19,19,19,19,19,18,18,18,18,10,12,48,36,12,12,12,12,12,12,14,14,14,14,14,14,42,42,14,28,14,12,12,10,0,0,0,0,0,0,0,0,0,0,0
1705664775,12,12,12,12,12,12,12,13,13,13,13,13,13,15,10,12,12,12,12,12,12,12,12,12,10,21,84,63,21,21,21,21,21,21,20,20,20,20,20,20,60,60,20,40,20,13,13,10,46,0,0,0,0,0,0,0,0,0,0
1705664790,16,16,16,16,16,16,16,16,16,16,16,16,16,15,10,12,12,12,12,12,13,13,13,13,10,10,40,30,10,10,10,10,10,10,11,11,11,11,11,11,33,33,11,22,11,23,23,10,0,0,0,0,0,0,0,0,0,0,0
1705664805,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,11,11,11,11,10,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,9,9,10,0,0,0,0,0,0,0,0,0,0,0
1705664820,18,18,18,18,18,18,18,18,18,18,18,18,18,18,10,23,23,23,23,23,23,23,23,23,10,9,36,27,9,9,9,9,9,9,9,9,9,9,9,9,27,27,9,18,9,15,15,10,23,0,0,0,0,0,0,0,0,0,0
1705664835,17,17,17,17,17,17,17,16,16,16,16,16,16,16,10,16,16,16,16,16,16,16,16,16,10,23,92,69,23,23,23,23,23,23,21,21,21,21,21,21,63,63,21,42,21,8,8,10,0,0,0,0,0,0,0,0,0,0,0
1705664850,13,13,13,13,13,13,13,14,14,14,14,14,14,13,10,10,10,10,10,10,10,10,10,10,10,13,52,39,13,13,13,13,13,13,15,15,15,15,15,15,45,45,15,30,15,24,24,10,0,0,0,0,0,0,0,0,0,0,0
1705664865,14,14,14,14,14,14,14,13,13,13,13,13,13,13,10,18,18,18,18,18,18,18,18,18,10,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,13,13,10,0,0,0,0,0,0,0,0,0,0,0
1705664880,16,16,16,16,16,16,16,17,17,17,17,17,17,19,10,13,13,13,13,13,12,12,12,12,10,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,14,14,10,0,0,0,0,0,0,0,0,0,0,0
1705664895,13,13,13,13,13,13,13,12,12,12,12,12,12,10,10,16,16,16,16,16,16,16,16,16,10,16,64,48,16,16,16,16,16,15,16,16,16,16,16,16,48,48,16,32,16,16,16,10,23,0,0,0,0,0,0,0,0,0,1
1705664910,19,19,19,19,19,19,19,20,20,20,20,20,20,19,10,19,19,18,18,18,19,19,19,19,10,11,44,33,11,11,11,11,11,11,11,11,11,11,11,11,33,33,11,22,11,13,13,10,46,0,0,0,0,0,0,0,0,0,0
1705664925,8,8,8,8,8,8,8,7,7,7,7,7,7,6,2,2,2,3,3,3,3,3,3,3,2,5,20,15,5,5,5,5,5,5,5,5,5,5,5,5,15,15,5,10,5,4,4,4,0,0,0,0,0,0,0,0,0,0,0
