time,catalogue_1,front-end_2,front-end_3,front-end_4,front-end_5,catalogue_6,front-end_7,front-end_8,front-end_9,front-end_10,catalogue_11,front-end_12,front-end_13,orders_14,payment_15,orders_16,shipping_17,queue-master_18,queue-master_19,queue-master_20,queue-master_21,queue-master_22,front-end_23,front-end_24,front-end_25,user_26,front-end_27,front-end_28,front-end_29,payment_30,user_31,front-end_32,front-end_33,user_34,front-end_35,front-end_36,user_37,front-end_38,front-end_39,front-end_40,user_41,front-end_42,front-end_43,front-end_44,front-end_45,front-end_46,user_47,user_48,carts_49,user_50,user_51,user-db_52
1705655655,10,16,16,16,16,7,7,13,13,13,13,13,13,8,8,8,8,8,8,24,24,8,16,8,14,14,14,14,14,10,10,11,14,14,14,14,14,14,14,8,32,24,8,8,8,8,8,8,0,0,0,0
1705655670,10,11,11,11,11,8,8,14,14,14,14,14,14,13,13,13,13,13,13,39,39,13,26,13,8,8,8,8,8,10,10,12,10,10,10,10,10,10,10,13,52,39,13,13,13,13,13,13,23,0,0,0
1705655685,10,8,8,8,8,13,13,13,13,13,13,13,13,15,15,15,15,15,15,45,45,15,30,15,6,6,6,6,6,10,10,22,13,13,13,13,13,13,13,13,52,39,13,13,13,13,13,13,0,0,0,0
1705655700,10,14,14,14,14,18,18,12,12,12,12,12,12,17,17,17,17,17,17,51,51,17,34,17,15,15,15,15,15,10,10,7,11,11,11,11,11,11,11,18,72,54,18,18,18,18,18,18,23,0,0,0
1705655715,10,12,12,12,12,13,13,10,10,10,10,10,10,10,10,10,10,10,10,30,30,10,20,10,15,15,15,15,15,10,10,12,12,12,12,12,12,12,12,10,40,30,10,10,10,10,10,10,23,0,0,0
1705655730,10,17,17,17,17,10,10,12,12,12,12,12,12,9,9,9,9,9,9,27,27,9,18,9,18,18,18,18,18,10,10,9,13,13,13,13,13,13,13,10,40,30,10,10,10,10,10,10,0,0,0,0
1705655745,10,11,11,11,11,10,10,14,14,14,14,14,14,13,13,13,13,13,13,39,39,13,26,13,7,7,7,7,7,10,10,10,16,16,16,16,16,16,16,11,44,33,11,11,11,11,11,11,0,0,0,0
1705655760,10,9,9,9,9,10,10,13,13,13,13,13,13,10,10,10,10,10,10,30,30,10,20,10,12,12,12,12,12,10,10,17,9,9,9,9,9,9,9,10,40,30,10,10,10,10,10,10,23,0,0,0
1705655775,10,10,10,10,10,12,12,11,11,11,11,11,11,18,18,18,18,18,18,54,54,18,36,18,9,9,9,9,9,10,10,15,12,12,12,12,12,12,12,19,76,57,19,19,19,19,19,19,0,0,0,0
1705655790,10,14,14,14,14,18,18,10,10,10,10,10,10,13,13,13,13,13,13,39,39,13,26,13,11,11,11,11,11,10,10,12,8,8,8,8,8,8,8,12,48,36,12,12,12,12,12,12,0,0,0,0
1705655805,10,13,13,13,13,14,14,14,14,14,14,14,14,11,11,11,11,11,11,33,33,11,22,11,15,15,15,15,15,10,10,11,17,17,17,17,17,17,17,12,48,36,12,12,12,12,12,12,0,0,0,0
1705655820,10,14,14,14,14,11,11,11,11,11,11,11,11,12,12,12,12,12,12,36,36,12,24,12,12,12,12,12,12,10,10,14,8,8,8,8,8,8,8,11,43,33,11,11,11,11,11,11,23,0,1,0
1705655835,10,12,12,12,12,13,13,15,15,15,15,15,15,13,13,13,13,13,13,39,39,13,26,13,14,14,14,14,14,10,10,8,15,15,15,15,15,15,15,13,52,39,13,13,13,13,13,13,0,0,0,0
1705655850,10,12,12,12,12,8,8,11,11,11,11,11,11,7,7,7,7,7,7,21,21,7,14,7,14,14,14,14,14,10,10,14,14,14,14,14,14,14,14,8,32,24,8,8,8,8,8,8,23,0,0,0
1705655865,10,11,11,11,11,13,13,13,13,13,13,13,13,15,15,15,15,15,15,45,45,15,30,15,9,9,9,9,9,10,10,13,11,11,11,11,11,11,11,14,56,42,14,14,14,14,14,14,46,0,0,0
1705655880,10,12,12,12,12,14,13,12,12,12,12,12,12,15,15,15,15,15,15,45,45,15,30,15,11,11,11,11,11,10,10,15,11,11,11,11,11,11,11,15,60,45,15,15,15,15,15,15,0,0,0,0
1705655895,10,12,12,12,12,14,15,12,12,12,12,12,12,14,14,14,14,14,14,42,42,14,28,14,16,16,16,16,16,10,10,6,13,13,13,13,13,13,13,14,56,42,14,14,14,14,14,14,23,0,0,0
1705655910,10,17,17,17,17,11,11,11,11,11,11,11,11,8,8,8,8,8,8,24,24,8,16,8,15,15,15,15,15,10,10,14,14,14,14,14,14,14,14,8,32,24,8,8,8,8,8,8,0,0,0,0
1705655925,10,10,10,10,10,10,10,14,14,14,14,14,14,12,12,12,12,12,12,36,36,12,24,12,10,10,10,10,10,10,10,8,12,12,12,12,12,12,12,12,48,36,12,12,12,12,12,12,0,0,0,0
1705655940,10,12,12,12,12,11,11,12,12,12,12,12,12,11,11,11,11,11,11,33,33,11,22,11,10,10,10,10,10,10,10,17,12,12,12,12,12,12,12,12,48,36,12,12,12,12,12,12,0,0,0,0
1705655955,10,12,12,12,12,17,17,13,13,13,13,13,13,16,16,16,16,16,16,48,48,16,32,16,11,11,11,11,11,10,10,17,12,12,12,12,12,12,12,15,60,45,15,15,15,15,15,15,23,0,0,0
1705655970,10,12,12,12,12,14,14,13,13,13,13,13,13,16,16,16,16,16,16,48,48,16,32,16,14,14,14,14,14,10,10,9,13,13,13,13,13,13,13,16,64,48,16,16,16,16,16,16,0,0,0,0
1705655985,10,15,15,15,15,12,12,11,11,11,11,11,11,11,11,11,11,11,11,33,33,11,22,11,19,19,19,19,19,10,10,11,13,13,13,13,13,13,13,11,44,33,11,11,11,11,11,11,23,0,0,0
1705656000,10,13,13,13,13,12,12,12,12,12,12,12,12,7,7,7,7,7,7,21,21,7,14,7,7,7,7,7,7,10,10,11,16,16,16,16,16,16,16,7,28,21,7,7,7,7,7,7,0,0,0,0
1705656015,10,14,14,14,14,6,6,12,12,12,12,12,12,12,12,12,12,12,12,36,36,12,24,12,14,14,14,14,14,10,10,18,5,5,5,5,5,5,5,12,48,36,12,12,12,12,12,12,0,0,0,0
1705656030,10,7,7,7,7,17,17,15,15,15,15,15,15,16,16,16,16,16,16,48,48,16,32,16,9,9,9,9,9,10,10,10,15,15,15,15,15,15,15,17,68,51,17,17,17,17,17,17,0,0,0,0
1705656045,10,16,16,16,16,13,13,12,12,12,12,12,12,11,11,11,11,11,11,33,33,11,22,11,16,16,16,16,16,10,10,11,18,18,18,18,18,18,17,12,48,36,12,12,12,12,12,12,23,0,0,0
1705656060,10,13,13,13,13,14,14,12,12,12,12,12,12,12,12,12,12,12,12,36,36,12,24,12,12,12,12,12,12,10,10,18,7,7,7,7,7,7,8,11,44,33,11,11,11,11,11,11,0,0,0,0
1705656075,10,13,13,13,13,9,9,14,14,14,14,14,14,17,17,17,17,17,17,51,51,17,34,17,12,12,12,12,12,10,10,13,14,14,14,14,14,14,14,16,64,48,16,16,16,16,16,16,23,0,0,0
1705656090,10,11,11,11,11,22,22,13,13,13,13,13,13,15,15,15,15,15,15,45,45,15,30,15,13,13,13,13,13,10,10,11,14,14,14,14,14,14,14,15,60,45,15,15,15,15,15,15,23,0,0,0
1705656105,10,12,12,12,12,7,7,12,12,12,12,12,12,12,12,12,12,12,12,36,36,12,24,12,19,19,19,19,19,10,10,8,13,13,13,13,13,13,13,13,52,39,13,13,13,13,13,13,46,0,0,0
1705656120,10,16,16,16,16,12,12,13,13,13,13,13,13,6,6,6,6,6,6,18,18,6,12,6,10,10,10,10,10,10,10,11,13,13,13,13,13,13,13,5,20,15,5,5,5,5,5,5,0,0,0,0
1705656135,10,8,8,8,8,6,6,12,12,12,12,12,12,11,11,11,11,11,11,33,33,11,22,11,9,9,9,9,9,10,10,15,12,12,12,12,12,12,12,13,52,39,13,13,13,13,13,13,0,0,0,0
1705656150,10,14,14,14,14,15,15,11,11,11,11,11,11,16,16,16,16,16,16,48,48,16,32,16,10,10,10,10,10,10,10,15,9,9,9,9,9,9,9,14,56,42,14,14,14,14,14,14,0,0,0,0
1705656165,10,13,13,13,13,18,18,11,11,11,11,11,11,15,15,15,15,15,15,45,45,15,30,15,21,21,21,21,21,10,10,10,12,12,12,12,12,12,12,16,64,48,16,16,16,16,16,16,0,0,0,0
1705656180,10,14,14,14,14,10,10,14,14,14,14,14,14,6,6,6,6,6,6,18,18,6,12,6,10,10,10,10,10,10,10,9,18,18,18,18,18,18,18,8,32,24,8,8,8,8,8,8,0,0,0,0
1705656195,10,9,9,9,9,10,10,13,13,13,13,13,13,12,12,12,12,12,12,36,36,12,24,12,11,11,11,11,11,10,10,16,9,9,9,9,9,9,9,10,40,30,10,10,10,10,10,10,23,0,0,0
1705656210,10,15,15,15,15,9,9,11,11,11,11,11,11,15,15,15,15,15,15,45,45,15,30,15,11,11,11,11,11,10,10,13,13,13,13,13,13,13,13,15,60,45,15,15,15,15,15,15,0,0,0,0
1705656225,10,9,9,9,9,15,15,13,13,13,13,13,13,12,12,12,12,12,12,36,36,12,24,12,9,9,9,9,9,10,10,13,11,11,10,10,10,10,10,14,51,35,13,13,11,11,11,11,0,0,0,0
1705656240,10,11,11,11,11,14,14,12,12,12,12,12,12,13,13,13,13,13,13,39,39,13,26,13,11,11,10,10,10,10,10,15,12,12,12,12,12,11,11,14,55,45,15,15,15,15,13,13,23,0,0,1
1705656255,10,8,8,8,8,13,13,10,10,10,10,10,10,16,16,16,16,16,16,48,48,16,32,16,11,10,10,10,10,10,10,9,8,8,9,9,9,10,10,12,54,40,12,12,14,14,16,16,0,0,0,1
1705656270,10,20,20,20,20,15,15,10,10,10,10,10,10,8,8,8,8,8,8,24,24,8,16,8,18,18,19,19,19,10,10,4,17,16,16,16,15,15,15,9,33,24,8,8,8,8,8,8,23,0,0,0
1705656285,10,9,9,9,9,6,6,15,15,15,15,15,15,8,8,8,8,8,8,24,24,8,16,8,12,13,13,13,13,10,10,11,10,11,11,11,12,12,12,7,31,24,8,8,8,8,8,8,0,0,0,0
1705656300,10,13,13,13,13,7,7,11,11,11,11,11,11,9,9,9,9,9,9,27,27,9,18,9,10,9,9,9,9,10,10,18,15,15,15,15,14,14,14,11,41,30,10,10,10,10,10,10,0,0,0,0
1705656315,10,8,8,8,8,14,14,13,13,13,13,13,13,16,16,16,16,16,16,48,48,16,32,16,7,7,6,6,6,10,10,16,8,7,7,7,8,8,8,15,60,46,16,16,15,15,15,15,23,0,0,0
1705656330,10,10,10,10,10,12,12,11,11,11,11,11,11,15,15,15,15,15,15,45,45,15,30,15,11,12,13,13,13,10,10,9,10,11,11,11,11,11,11,16,62,45,15,15,15,15,15,15,0,0,0,1
1705656345,10,16,16,16,16,16,16,11,11,11,11,11,11,10,10,10,10,10,10,30,30,10,20,10,17,17,17,17,17,10,10,11,16,16,16,16,16,15,15,11,48,38,12,12,13,13,12,12,23,0,0,0
1705656360,10,14,14,14,14,11,11,12,12,12,12,12,12,13,13,13,13,13,13,39,39,13,26,13,11,11,11,11,11,10,10,13,8,8,8,8,7,8,8,13,46,33,11,11,11,11,11,11,23,0,0,0
1705656375,10,14,14,14,14,12,12,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,17,17,17,17,17,10,10,11,15,15,15,15,16,16,15,13,54,40,14,14,13,13,13,13,0,0,0,0
1705656390,10,9,9,9,9,15,15,15,15,15,15,15,15,11,11,11,11,11,11,33,33,11,22,11,9,9,9,9,9,10,10,12,14,14,14,14,14,14,15,9,38,29,9,9,10,10,11,11,0,0,0,0
1705656405,10,16,16,16,16,9,9,10,10,10,10,10,10,11,11,11,11,11,11,33,33,11,22,11,12,12,12,12,12,10,10,14,12,12,12,12,11,9,9,14,54,38,14,14,12,12,12,12,23,0,0,0
1705656420,10,8,8,8,8,14,14,12,12,12,12,12,12,11,11,11,11,11,11,33,33,11,22,11,12,12,12,12,12,10,10,13,11,11,11,11,12,14,14,12,50,40,12,12,14,14,14,14,0,0,0,0
1705656435,10,15,15,15,15,13,13,13,13,13,13,13,13,16,16,16,16,16,16,48,48,16,32,16,13,13,13,13,13,10,10,7,11,11,11,11,11,11,11,13,52,39,13,13,13,13,13,13,0,0,0,0
1705656450,10,10,10,10,10,13,13,11,11,11,11,11,11,6,6,6,6,6,6,18,18,6,12,6,11,11,11,11,11,10,10,18,12,12,12,12,12,12,12,7,23,16,6,6,5,5,5,5,23,0,0,0
1705656465,10,12,12,12,12,8,8,12,12,12,12,12,12,16,16,16,16,16,16,48,48,16,32,16,11,11,11,11,11,10,10,8,12,12,12,12,12,12,12,16,63,48,16,16,16,16,16,16,0,0,0,1
1705656480,10,10,10,10,10,13,13,14,14,14,14,14,14,13,13,13,13,13,13,39,39,13,26,13,11,11,11,11,11,10,10,18,13,13,13,13,13,13,13,13,55,42,14,14,14,14,14,14,0,0,0,0
1705656495,10,18,18,18,18,14,14,12,12,12,12,12,12,17,17,17,17,17,17,51,51,17,34,17,16,16,16,16,16,10,10,10,16,16,16,16,15,15,15,15,66,50,16,16,17,17,17,17,23,0,0,0
1705656510,10,12,12,12,12,15,15,13,13,13,13,13,13,8,8,8,8,8,8,24,24,8,16,8,11,11,11,11,11,10,10,15,9,9,9,9,10,10,10,11,33,24,10,10,7,7,7,7,0,0,0,0
1705656525,10,9,9,9,9,7,7,12,12,12,12,12,12,16,16,16,16,16,16,48,48,16,32,16,13,13,12,12,12,10,10,10,13,13,13,13,13,13,13,14,64,48,14,14,17,17,17,17,46,0,0,0
1705656540,10,15,15,15,15,18,18,13,13,13,13,13,13,8,8,8,8,8,8,24,24,8,16,8,11,11,12,12,12,10,10,15,14,13,13,13,12,12,12,9,30,22,8,8,7,7,7,7,0,0,0,0
1705656555,10,11,11,11,11,12,12,12,12,12,12,12,12,16,16,16,16,16,16,48,48,16,32,16,14,13,13,13,13,10,10,12,10,11,11,11,12,12,11,14,64,48,16,16,16,16,16,16,23,0,0,0
1705656570,10,14,14,14,14,12,12,12,12,12,12,12,12,15,15,15,15,15,15,45,45,15,30,15,12,13,13,13,13,10,10,13,11,11,11,11,11,11,12,16,62,47,15,15,16,16,16,16,23,0,0,0
1705656585,10,13,13,13,13,14,14,14,14,14,14,14,14,10,10,10,10,10,10,30,30,10,20,10,12,12,12,12,12,10,10,14,16,16,15,15,15,14,14,14,49,31,13,13,9,9,9,9,23,0,0,0
1705656600,10,12,12,12,12,14,14,13,13,13,13,13,13,15,15,15,15,15,15,45,45,15,30,15,18,18,18,18,18,10,10,9,12,12,13,13,13,14,13,10,47,41,11,11,15,15,15,15,0,0,0,0
1705656615,10,15,15,15,15,10,10,13,13,13,13,13,13,9,9,9,9,9,9,27,27,9,18,9,13,13,13,13,13,10,10,9,16,16,16,16,15,15,16,9,36,28,10,10,9,9,9,9,0,0,0,0
1705656630,10,12,12,12,12,9,9,12,12,12,12,12,12,8,8,8,8,8,8,24,24,8,16,8,9,9,9,9,9,10,10,14,10,10,10,10,11,11,11,8,34,24,8,8,8,8,8,8,0,0,0,0
1705656645,10,11,11,11,11,9,9,11,11,11,11,11,11,13,13,13,13,13,13,39,39,13,26,13,14,14,13,13,13,10,10,13,14,13,12,12,11,10,10,15,61,47,15,15,16,16,16,16,0,0,0,0
1705656660,10,9,9,9,9,14,14,15,15,15,15,15,15,17,17,17,17,17,17,51,51,17,34,17,8,8,8,8,8,10,10,12,12,12,13,13,14,15,15,16,58,42,14,14,14,14,14,14,23,0,0,0
1705656675,10,15,15,15,15,16,16,9,9,9,9,9,9,12,12,12,12,12,12,36,36,12,24,12,13,13,14,14,14,10,10,13,9,10,10,10,10,10,10,11,49,37,13,13,12,12,12,12,0,0,0,0
1705656690,10,11,11,11,11,12,12,12,12,12,12,12,12,10,10,10,10,10,10,30,30,10,20,10,10,10,10,10,10,10,10,15,10,10,10,10,10,10,10,10,40,30,10,10,10,10,10,10,0,0,0,0
1705656705,10,11,11,11,11,10,10,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,15,15,15,15,15,10,10,7,16,16,16,16,15,15,15,14,53,41,13,13,14,14,14,14,23,0,0,0
1705656720,10,14,14,14,14,12,12,10,10,10,10,10,10,10,10,10,10,10,10,30,30,10,20,10,13,13,11,11,11,10,10,14,12,10,10,10,11,11,11,10,41,30,10,10,10,10,10,10,23,0,0,0
1705656735,10,11,11,11,11,14,14,13,13,13,13,13,13,14,14,14,14,14,14,42,42,14,28,14,10,10,12,12,12,10,10,11,11,13,13,13,11,11,11,14,56,43,15,15,14,14,14,14,0,0,0,0
1705656750,10,14,14,14,14,10,10,12,12,12,12,12,12,10,10,10,10,10,10,30,30,10,20,10,17,16,15,15,15,10,10,16,13,11,11,11,12,12,12,13,46,32,12,12,10,10,10,10,0,0,0,0
1705656765,10,9,9,9,9,14,14,15,15,15,15,15,15,16,16,16,16,16,16,48,48,16,32,16,6,7,8,8,8,10,10,10,13,15,15,15,16,16,16,13,61,48,14,14,17,17,17,17,0,0,0,0
1705656780,10,12,12,12,12,12,12,9,9,9,9,9,9,12,12,12,12,12,12,36,36,12,24,12,11,11,11,11,11,10,10,14,10,10,10,10,9,9,8,14,51,37,13,13,12,12,11,11,0,0,0,0
1705656795,10,15,15,15,15,14,14,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,16,15,14,14,14,10,10,14,15,14,14,14,13,13,14,13,54,38,14,14,12,12,13,13,23,0,0,0
1705656810,10,13,13,13,13,13,13,13,13,13,13,13,13,12,12,12,12,12,12,36,36,12,24,12,14,15,16,16,16,10,10,10,13,14,14,14,16,15,15,11,41,34,10,10,12,12,12,12,23,0,0,0
1705656825,10,15,15,15,15,13,13,13,13,13,13,13,13,9,9,9,9,9,9,27,27,9,18,9,14,13,12,12,12,10,10,11,9,9,9,9,9,10,10,7,34,26,8,8,9,9,9,9,46,0,0,0
1705656840,10,9,9,9,9,7,7,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,11,12,13,13,13,10,10,9,13,13,13,13,13,13,13,16,59,41,15,15,13,13,13,13,0,0,0,3
1705656855,10,11,11,11,11,15,15,12,12,12,12,12,12,9,9,9,9,9,9,27,27,9,18,9,9,9,9,9,9,10,10,18,14,13,13,13,13,13,13,9,38,31,9,9,11,11,11,11,23,0,0,0
1705656870,10,8,8,8,8,13,13,10,10,10,10,10,10,19,19,19,19,19,19,57,57,19,38,19,12,12,11,11,11,10,10,12,10,11,11,11,11,11,11,16,67,51,17,17,17,17,17,17,23,0,0,0
1705656885,10,16,16,16,16,14,14,13,13,13,13,13,13,9,9,9,9,9,9,27,27,9,18,9,13,12,13,13,13,10,10,9,12,11,11,11,11,11,11,12,44,33,11,11,11,11,10,10,0,0,0,0
1705656900,10,15,15,15,15,13,13,9,9,9,9,9,9,11,11,11,11,11,11,33,33,11,22,11,16,17,17,17,17,10,10,13,13,14,14,14,14,14,13,10,40,28,10,10,9,9,10,10,23,0,0,0
1705656915,10,11,11,11,11,6,6,17,17,17,17,17,17,12,12,12,12,12,12,36,36,12,24,12,8,8,7,7,7,10,10,8,14,14,14,14,14,14,15,11,48,38,12,12,13,13,13,13,0,0,0,0
1705656930,10,9,9,9,9,13,13,9,9,9,9,9,9,9,9,9,9,9,9,27,27,9,18,9,10,10,11,11,11,10,10,18,11,11,10,10,8,8,8,11,39,28,10,10,9,9,9,9,0,0,0,0
1705656945,6,8,8,8,8,5,5,7,7,7,7,7,7,13,13,13,13,13,13,39,39,13,26,13,8,7,7,7,7,6,6,8,4,4,5,5,6,6,6,12,49,36,12,12,12,12,12,12,46,0,0,0
